message_id,kind,side,sender,recipient,issued_turn,issued_phase,sender_hex,recipient_hex,hex_distance,tbs_range_hex,distance_within_tbs,optical_range_hex_v2_2_rule,selected_medium,relay_hops,handling_delay,encoding_delay,relay_delay,reencipher_delay,queue_delay,clarification_delay,total_delay,route_reason,delivered_turn,status,in_person,report_author,flags
MSG-00001,mission_order,axis,IBS-U-IJN-ERMA-YAMATO,axis-cruiser-line,2,reinforcement,"(9, -2)","(6, 1)",3,73,True,15,tbs_short,0,1,,,,,,1,within tactical range with line of sight,3,delivered,False,,
MSG-00002,mission_order,axis,IBS-U-IJN-ERMA-YAMATO,axis-destroyer-line,2,reinforcement,"(9, -2)","(3, 7)",9,73,True,15,tbs_short,0,1,,,,,,1,within tactical range with line of sight,3,delivered,False,,
MSG-00003,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-cruiser-line,2,reinforcement,"(24, 10)","(21, 14)",4,73,True,13,tbs_short,0,1,,,,,,1,within tactical range with line of sight,3,delivered,False,,
MSG-00004,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-destroyer-line,2,reinforcement,"(24, 10)","(18, 16)",6,73,True,13,tbs_short,0,1,,,,,,1,within tactical range with line of sight,3,delivered,False,,
MSG-00005,mission_order,axis,IBS-U-IJN-ERMA-YAMATO,axis-battle-line,2,movement_planning,"(9, -2)","(9, -2)",0,73,False,15,tbs_short,0,0,,,,,,0,同编队当面下令：当面交办，不占用通信链路,2,delivered,True,,
MSG-00006,mission_order,axis,IBS-U-IJN-ERMA-YAMATO,axis-cruiser-line,2,movement_planning,"(9, -2)","(6, 1)",3,73,True,15,tbs_short,0,1,,,,,,1,within tactical range with line of sight,3,delivered,False,,
MSG-00007,mission_order,axis,IBS-U-IJN-ERMA-YAMATO,axis-destroyer-line,2,movement_planning,"(9, -2)","(3, 7)",9,73,True,15,tbs_short,0,1,,,,,,1,within tactical range with line of sight,3,delivered,False,,
MSG-00008,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-battle-line,2,movement_planning,"(24, 10)","(24, 10)",0,73,False,13,tbs_short,0,0,,,,,,0,同编队当面下令：当面交办，不占用通信链路,2,delivered,True,,
MSG-00009,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-cruiser-line,2,movement_planning,"(24, 10)","(21, 14)",4,73,True,13,tbs_short,0,1,,,,,,1,within tactical range with line of sight,3,delivered,False,,
MSG-00010,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-destroyer-line,2,movement_planning,"(24, 10)","(18, 16)",6,73,True,13,tbs_short,0,1,,,,,,1,within tactical range with line of sight,3,delivered,False,,
MSG-00011,sitrep,axis,IBS-U-IJN-ERMA-IBUKI,axis-battle-line,2,movement_planning,"(6, 1)","(9, -2)",3,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,2,delivered,False,axis-cruiser-line,
MSG-00012,acknowledgement,axis,IBS-U-IJN-ERMA-IBUKI,axis-battle-line,2,movement_planning,"(6, 1)","(9, -2)",3,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,2,delivered,False,,
MSG-00013,sitrep,axis,IBS-U-IJN-ERMA-SHIMAKAZE,axis-battle-line,2,movement_planning,"(3, 7)","(9, -2)",9,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,2,delivered,False,axis-destroyer-line,
MSG-00014,acknowledgement,axis,IBS-U-IJN-ERMA-SHIMAKAZE,axis-battle-line,2,movement_planning,"(3, 7)","(9, -2)",9,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,2,delivered,False,,
